2025-11-10 08:30:34 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:35 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33787 HTTP/1.1" 200 None
2025-11-10 08:30:35 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:36 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33787/notes HTTP/1.1" 201 None
2025-11-10 08:30:36 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:37 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33741 HTTP/1.1" 200 None
2025-11-10 08:30:37 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:38 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33739 HTTP/1.1" 200 None
2025-11-10 08:30:38 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:39 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33702 HTTP/1.1" 200 None
2025-11-10 08:30:39 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:39 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33667 HTTP/1.1" 200 None
2025-11-10 08:30:39 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:40 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33667/notes HTTP/1.1" 201 None
2025-11-10 08:30:40 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:41 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33563 HTTP/1.1" 200 None
2025-11-10 08:30:41 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:42 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33552 HTTP/1.1" 200 None
2025-11-10 08:30:42 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:42 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33513 HTTP/1.1" 200 None
2025-11-10 08:30:42 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:43 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33494 HTTP/1.1" 200 None
